FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040430;0000;;3,69583;;
040501;0000;;1,07083;;
040502;0000;;1,09167;;
040503;0000;;2,7625;;
040504;0000;;0,866666;;
040505;0000;;1,56666;;
040506;0000;;0,795833;;
040507;0000;;0,424999;;
040508;0000;;0,562499;;
040509;0000;;1,11666;;
040510;0000;;0,783332;;
040511;0000;;1,3125;;
040512;0000;;2,66666;;
040513;0000;;1,6875;;
040514;0000;;1,47083;;
040515;0000;;;;
040516;0000;;;;
040517;0000;;;;
040518;0000;;;;
040519;0000;;;;
040520;0000;;;;
040521;0000;;2,375;;
040522;0000;;;;
040523;0000;;;;
040524;0000;;;;
040525;0000;;0,920833;;
040526;0000;;3,10416;;
040527;0000;;1,90833;;
040528;0000;;0,3125;;
040529;0000;;1,825;;
040530;0000;;2,13333;;
040531;0000;;0,787499;;
040601;0000;;1,1125;;
040602;0000;;1,10417;;
040603;0000;;0,7125;;
040604;0000;;0,116667;;
040605;0000;;0,416666;;
040606;0000;;0,879166;;
040607;0000;;0,404166;;
040608;0000;;0,272727;;
040609;0000;;;;
040610;0000;;1,60833;;
040611;0000;;0,695832;;
040612;0000;;0,279166;;
040613;0000;;0;;
040614;0000;;0,00833331;;
040615;0000;;0,0125;;
040616;0000;;0,0458332;;
040617;0000;;0,00416666;;
040618;0000;;0;;
040619;0000;;;;
040620;0000;;;;
040621;0000;;;;
040622;0000;;0,0649998;;
040623;0000;;0,120833;;
040624;0000;;0,120833;;
040625;0000;;0,0916665;;
040626;0000;;0,0416666;;
040627;0000;;0;;
040628;0000;;0;;
040629;0000;;;;
040630;0000;;;;
040701;0000;;;;
040702;0000;;;;
040703;0000;;;;
040704;0000;;0,0916665;;
040705;0000;;0,116666;;
040706;0000;;1,4;;
040707;0000;;4,74999;;
040708;0000;;1,22083;;
040709;0000;;1,4375;;
040710;0000;;1,85;;
040711;0000;;0,341666;;
040712;0000;;0,166666;;
040713;0000;;0,291666;;
040714;0000;;0,754166;;
040715;0000;;1,64166;;
040716;0000;;2,29166;;
040717;0000;;1,07083;;
040718;0000;;0,216666;;
040719;0000;;0,899999;;
040720;0000;;0,741666;;
040721;0000;;0;;
040722;0000;;0,329166;;
040723;0000;;0,641665;;
040724;0000;;0,879166;;
040725;0000;;0,0791665;;
040726;0000;;0,874999;;
040727;0000;;0,945832;;
040728;0000;;0,954165;;
040729;0000;;1,1;;
040730;0000;;1,27368;;
040731;0000;;0,181958;;
040801;0000;;0,147208;;
040802;0000;;0;;
040803;0000;;0,054875;;
040804;0000;;0,0905832;;
040805;0000;;0,748332;;
040806;0000;;1,57725;;
040807;0000;;1,19437;;
040808;0000;;0,947374;;
040809;0000;;1,05337;;
040810;0000;;0,896625;;
040811;0000;;0,295958;;
040812;0000;;0,633912;;
040813;0000;;0,744832;;
040814;0000;;0,831791;;
040815;0000;;0,824582;;
040816;0000;;0,845915;;
040817;0000;;0,937749;;
040818;0000;;1,55462;;
040819;0000;;1,14791;;
040820;0000;;0,865166;;
040821;0000;;0,792707;;
040822;0000;;0,936041;;
040823;0000;;0,258541;;
040824;0000;;0,606666;;
040825;0000;;1,46733;;
040826;0000;;0,434499;;
040827;0000;;0,879564;;
040828;0000;;1,27304;;
040829;0000;;0,17775;;
040830;0000;;0,0796666;;
040831;0000;;0,705374;;
040901;0000;;1,96783;;
040902;0000;;1,03612;;
040903;0000;;0,189583;;
040904;0000;;0,230958;;
040905;0000;;0,383791;;
040906;0000;;0,261916;;
040907;0000;;1,02466;;
040908;0000;;1,47996;;
040909;0000;;1,17654;;
040910;0000;;1,05846;;
040911;0000;;0,780333;;
