FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040401;0000;;1,05;;
040402;0000;;0,0249999;;
040403;0000;;2,91666;;
040404;0000;;4,425;;
040405;0000;;0,358333;;
040406;0000;;1,65;;
040407;0000;;5,32082;;
040408;0000;;4,04166;;
040409;0000;;5,06249;;
040410;0000;;13,725;;
040411;0000;;1,2625;;
040412;0000;;9,29999;;
040413;0000;;10,4292;;
040414;0000;;18,4291;;
040415;0000;;11,4666;;
040416;0000;;9,35832;;
040417;0000;;3,99583;;
040418;0000;;9,84998;;
040419;0000;;7,06249;;
040420;0000;;5,81666;;
040421;0000;;14,9625;;
040422;0000;;40,2416;;
040423;0000;;52,8791;;
040424;0000;;18,5083;;
040425;0000;;8,11665;;
040426;0000;;3,14166;;
040427;0000;;15,9708;;
040428;0000;;7,28695;;
040429;0000;;;;
040430;0000;;;;
040501;0000;;;;
040502;0000;;;;
040503;0000;;;;
040504;0000;;;;
040505;0000;;;;
040506;0000;;;;
040507;0000;;;;
040508;0000;;;;
040509;0000;;;;
040510;0000;;;;
040511;0000;;;;
040512;0000;;;;
040513;0000;;;;
040514;0000;;;;
040515;0000;;;;
040516;0000;;;;
040517;0000;;;;
040518;0000;;;;
040519;0000;;;;
040520;0000;;;;
040521;0000;;46,8375;;
040522;0000;;;;
040523;0000;;;;
040524;0000;;;;
040525;0000;;12,0083;;
040526;0000;;45,6166;;
040527;0000;;37,9;;
040528;0000;;8,17082;;
040529;0000;;35,5208;;
040530;0000;;34,8583;;
040531;0000;;21,7166;;
040601;0000;;35,3041;;
040602;0000;;28,2041;;
040603;0000;;19,9458;;
040604;0000;;4,55;;
040605;0000;;10,225;;
040606;0000;;15,725;;
040607;0000;;6,5125;;
040608;0000;;7,17272;;
040609;0000;;;;
040610;0000;;33,7;;
040611;0000;;55,3833;;
040612;0000;;11,9292;;
040613;0000;;1,975;;
040614;0000;;10,8708;;
040615;0000;;9,04582;;
040616;0000;;28,0083;;
040617;0000;;9,92915;;
040618;0000;;7,74583;;
040619;0000;;0,495833;;
040620;0000;;0,0333333;;
040621;0000;;0,0583333;;
040622;0000;;2,00416;;
040623;0000;;2,91666;;
040624;0000;;1,39583;;
040625;0000;;11,2625;;
040626;0000;;4,24166;;
040627;0000;;0;;
040628;0000;;0,0125;;
040629;0000;;29,5;;
040630;0000;;2,14583;;
040701;0000;;0;;
040702;0000;;0,125;;
040703;0000;;3,22916;;
040704;0000;;0,0166666;;
040705;0000;;3,0875;;
040706;0000;;0,0555554;;
040707;0000;;21,3091;;
040708;0000;;6,84999;;
040709;0000;;25,4708;;
040710;0000;;25,5833;;
040711;0000;;3,45833;;
040712;0000;;0;;
040713;0000;;1,58333;;
040714;0000;;5,94166;;
040715;0000;;28,1208;;
040716;0000;;53,4416;;
040717;0000;;28,1416;;
040718;0000;;0,858332;;
040719;0000;;15,7792;;
040720;0000;;10,95;;
040721;0000;;0,0333333;;
040722;0000;;1,29167;;
040723;0000;;6,24999;;
040724;0000;;9,79582;;
040725;0000;;0,1125;;
040726;0000;;12,9167;;
040727;0000;;;;
