FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040401;0000;;3,425;;
040402;0000;;1,09583;;
040403;0000;;8,50832;;
040404;0000;;8,87082;;
040405;0000;;3,0625;;
040406;0000;;5,94583;;
040407;0000;;13,2833;;
040408;0000;;8,14999;;
040409;0000;;10,925;;
040410;0000;;20,3958;;
040411;0000;;4,22916;;
040412;0000;;14,8;;
040413;0000;;16,9541;;
040414;0000;;27,225;;
040415;0000;;20,0833;;
040416;0000;;15,2083;;
040417;0000;;10,9458;;
040418;0000;;18,4708;;
040419;0000;;15,5;;
040420;0000;;15,0542;;
040421;0000;;20,6958;;
040422;0000;;51,1708;;
040423;0000;;64,0458;;
040424;0000;;28,9875;;
040425;0000;;15,8583;;
040426;0000;;10,6458;;
040427;0000;;22,1166;;
040428;0000;;16,9826;;
040429;0000;;;;
040430;0000;;;;
040501;0000;;;;
040502;0000;;;;
040503;0000;;;;
040504;0000;;;;
040505;0000;;;;
040506;0000;;;;
040507;0000;;;;
040508;0000;;;;
040509;0000;;;;
040510;0000;;;;
040511;0000;;;;
040512;0000;;;;
040513;0000;;;;
040514;0000;;;;
040515;0000;;;;
040516;0000;;;;
040517;0000;;;;
040518;0000;;;;
040519;0000;;;;
040520;0000;;;;
040521;0000;;61,4083;;
040522;0000;;;;
040523;0000;;;;
040524;0000;;;;
040525;0000;;22,4083;;
040526;0000;;58,3083;;
040527;0000;;55,2083;;
040528;0000;;21,9417;;
040529;0000;;49,1916;;
040530;0000;;46,0125;;
040531;0000;;32,2208;;
040601;0000;;49,1041;;
040602;0000;;43,9666;;
040603;0000;;32,0833;;
040604;0000;;12,3208;;
040605;0000;;20,9167;;
040606;0000;;25,575;;
040607;0000;;15,3042;;
040608;0000;;16,6863;;
040609;0000;;;;
040610;0000;;47,0416;;
040611;0000;;70,8499;;
040612;0000;;23,5375;;
040613;0000;;8,82915;;
040614;0000;;20,35;;
040615;0000;;21,0583;;
040616;0000;;42,2;;
040617;0000;;21,4833;;
040618;0000;;18,7458;;
040619;0000;;4,77083;;
040620;0000;;2,32916;;
040621;0000;;1,71667;;
040622;0000;;8,36665;;
040623;0000;;12,2666;;
040624;0000;;9,37082;;
040625;0000;;23,475;;
040626;0000;;12,3958;;
