FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010101;0000;;22,9729;;
010102;0000;;23,3625;;
010103;0000;;63,2228;;
010104;0000;;50,2354;;
010105;0000;;24,7458;;
010106;0000;;23,1369;;
010107;0000;;17,1545;;
010108;0000;;20,1045;;
010109;0000;;19,3375;;
010110;0000;;20,8541;;
010111;0000;;27,9608;;
010112;0000;;29,3909;;
010113;0000;;24,415;;
010114;0000;;31,2935;;
010115;0000;;40,9681;;
010116;0000;;34,1717;;
010117;0000;;40,6354;;
010118;0000;;52,9187;;
010119;0000;;56,2681;;
010120;0000;;65,239;;
010121;0000;;39,1043;;
010122;0000;;70,989;;
010123;0000;;38,8458;;
010124;0000;;35,1022;;
010125;0000;;48,7603;;
010126;0000;;42,4613;;
010127;0000;;30,8119;;
010128;0000;;30,4413;;
010129;0000;;62,7645;;
010130;0000;;32,1552;;
010131;0000;;47,3818;;
010201;0000;;46,9479;;
010202;0000;;31,2854;;
010203;0000;;51,5562;;
010204;0000;;38,3166;;
010205;0000;;;;
010206;0000;;;;
010207;0000;;;;
010208;0000;;;;
010209;0000;;;;
010210;0000;;;;
010211;0000;;39,0704;;
010212;0000;;54,1541;;
010213;0000;;40,627;;
010214;0000;;61,826;;
010215;0000;;56,2958;;
010216;0000;;49,0208;;
010217;0000;;49,7684;;
010218;0000;;38,525;;
010219;0000;;50,0687;;
010220;0000;;54,7166;;
010221;0000;;44,8704;;
010222;0000;;52,4564;;
010223;0000;;59,9456;;
010224;0000;;81,0166;;
010225;0000;;95,4412;;
010226;0000;;80,0369;;
010227;0000;;113,935;;
010228;0000;;67,7817;;
010301;0000;;72,6726;;
010302;0000;;47,8454;;
010303;0000;;78,7107;;
010304;0000;;28,9979;;
010305;0000;;47,0891;;
010306;0000;;34,9369;;
010307;0000;;70,2499;;
010308;0000;;73,9542;;
010309;0000;;246,582;;
010310;0000;;23,3818;;
010311;0000;;41,3083;;
010312;0000;;31,0727;;
010313;0000;;46,0727;;
010314;0000;;43,6326;;
010315;0000;;36,2695;;
010316;0000;;59,3113;;
010317;0000;;45,4369;;
010318;0000;;29,4978;;
010319;0000;;50,3187;;
010320;0000;;48,027;;
010321;0000;;108,579;;
010322;0000;;124,085;;
010323;0000;;128,406;;
010324;0000;;125,702;;
010325;0000;;70,7886;;
010326;0000;;41,3454;;
010327;0000;;49,3791;;
010328;0000;;54,1749;;
010329;0000;;;;
010330;0000;;103,585;;
010331;0000;;136,389;;
010401;0000;;71,1112;;
010402;0000;;39,6375;;
010403;0000;;67,1738;;
010404;0000;;56,6812;;
010405;0000;;74,4666;;
010406;0000;;131,261;;
010407;0000;;162,921;;
010408;0000;;63,7124;;
010409;0000;;35,9479;;
010410;0000;;54,9999;;
010411;0000;;69,3456;;
010412;0000;;115,598;;
010413;0000;;167,177;;
010414;0000;;86,4525;;
010415;0000;;90,3076;;
010416;0000;;172,124;;
010417;0000;;135,862;;
010418;0000;;68,2217;;
010419;0000;;90,8856;;
010420;0000;;98,4619;;
010421;0000;;97,8009;;
010422;0000;;1;;
010423;0000;;;;
010424;0000;;;;
010425;0000;;57,1145;;
010426;0000;;41,4124;;
010427;0000;;61,8895;;
010428;0000;;;;
010429;0000;;;;
010430;0000;;;;
010501;0000;;;;
010502;0000;;;;
010503;0000;;;;
010504;0000;;135,389;;
010505;0000;;123,579;;
010506;0000;;70,1957;;
010507;0000;;29,5229;;
010508;0000;;5,19166;;
010509;0000;;;;
010510;0000;;80,3809;;
010511;0000;;102,933;;
010512;0000;;48,2313;;
010513;0000;;59,2182;;
010514;0000;;98,6002;;
010515;0000;;42,1893;;
010516;0000;;8,83646;;
010517;0000;;14,6719;;
010518;0000;;27,1614;;
010519;0000;;25,6108;;
010520;0000;;13,5245;;
010521;0000;;17,992;;
010522;0000;;18,8048;;
010523;0000;;38,0302;;
010524;0000;;14,1102;;
010525;0000;;11,2472;;
010526;0000;;16,3471;;
010527;0000;;8,41457;;
010528;0000;;21,1292;;
010529;0000;;26,8208;;
010530;0000;;19,3333;;
010531;0000;;47,3333;;
010601;0000;;13,0458;;
010602;0000;;45,0624;;
010603;0000;;16,0229;;
010604;0000;;24,2958;;
010605;0000;;16,5646;;
010606;0000;;16,575;;
010607;0000;;17,4241;;
010608;0000;;21,4395;;
010609;0000;;39,3978;;
010610;0000;;38,9937;;
010611;0000;;24,9771;;
010612;0000;;25,0291;;
010613;0000;;27,4;;
010614;0000;;28,2708;;
010615;0000;;33,7791;;
010616;0000;;34,075;;
010617;0000;;100,683;;
010618;0000;;159,371;;
010619;0000;;157,16;;
010620;0000;;107,475;;
010621;0000;;174,976;;
010622;0000;;83,2764;;
010623;0000;;73,6251;;
010624;0000;;92,5983;;
010625;0000;;106,431;;
010626;0000;;115,427;;
010627;0000;;34,7729;;
010628;0000;;19,6229;;
010629;0000;;23,3437;;
010630;0000;;54,0853;;
010701;0000;;59,2062;;
010702;0000;;8,65207;;
010703;0000;;18,8773;;
010704;0000;;97,8185;;
010705;0000;;119,071;;
010706;0000;;20,5146;;
010707;0000;;14,0604;;
010708;0000;;42,1833;;
010709;0000;;25,2583;;
010710;0000;;36,8104;;
010711;0000;;9,10416;;
010712;0000;;51,9687;;
010713;0000;;22,6646;;
010714;0000;;68,4645;;
010715;0000;;30,1729;;
010716;0000;;16,8333;;
010717;0000;;28,6687;;
010718;0000;;21,9604;;
010719;0000;;13,7875;;
010720;0000;;31,1916;;
010721;0000;;52,9291;;
010722;0000;;97,2346;;
010723;0000;;88,7395;;
010724;0000;;89,1207;;
010725;0000;;;;
010726;0000;;;;
010727;0000;;145,096;;
010728;0000;;35,0428;;
010729;0000;;22,0458;;
010730;0000;;12,8954;;
010731;0000;;8,13332;;
010801;0000;;19,6292;;
010802;0000;;34,2291;;
010803;0000;;60,7833;;
010804;0000;;68,7874;;
010805;0000;;23,613;;
010806;0000;;106,737;;
010807;0000;;111,871;;
010808;0000;;88,479;;
010809;0000;;71,4208;;
010810;0000;;62,3978;;
010811;0000;;17,4271;;
010812;0000;;14,1208;;
010813;0000;;32,1021;;
010814;0000;;74,627;;
010815;0000;;90,5499;;
010816;0000;;125,45;;
010817;0000;;44,7;;
010818;0000;;30,9791;;
010819;0000;;79,6311;;
010820;0000;;128,671;;
010821;0000;;126,835;;
010822;0000;;64,3955;;
010823;0000;;59,7187;;
010824;0000;;25,8478;;
010825;0000;;11,9691;;
010826;0000;;18,4614;;
010827;0000;;10,1208;;
010828;0000;;16,7021;;
010829;0000;;67,2083;;
010830;0000;;80,5521;;
010831;0000;;72,1978;;
010901;0000;;75,4395;;
010902;0000;;71,313;;
010903;0000;;93,4912;;
010904;0000;;77,313;;
010905;0000;;84,1541;;
010906;0000;;30,5396;;
010907;0000;;15,4312;;
010908;0000;;54,3291;;
010909;0000;;25,7562;;
010910;0000;;43,226;;
010911;0000;;33,6833;;
010912;0000;;45,6478;;
010913;0000;;37,3416;;
010914;0000;;52,575;;
010915;0000;;66,7062;;
010916;0000;;48,7916;;
010917;0000;;34,4291;;
010918;0000;;25,4104;;
010919;0000;;26,9875;;
010920;0000;;32,1874;;
010921;0000;;38,6874;;
010922;0000;;44,0145;;
010923;0000;;37,677;;
010924;0000;;20,5333;;
010925;0000;;27,5062;;
010926;0000;;32,1187;;
010927;0000;;13,0875;;
010928;0000;;24,75;;
010929;0000;;43,452;;
010930;0000;;21,6833;;
011001;0000;;18,5854;;
011002;0000;;25,6062;;
011003;0000;;28,5271;;
011004;0000;;24,9458;;
011005;0000;;30,2458;;
011006;0000;;40,5396;;
011007;0000;;26,6708;;
011008;0000;;28,9604;;
011009;0000;;10,2479;;
011010;0000;;25,2542;;
011011;0000;;29,1;;
